process_id,arrival_time,burst_time,priority,process_type,short_job,long_job,io_flag,cpu_flag,high_priority,dynamic_arrival,best_algorithm
P1,19,14,2,IO-bound,0,1,1,0,0,1,FCFS
P2,18,19,10,CPU-bound,0,1,0,1,1,1,Round Robin
P3,13,13,10,IO-bound,0,1,1,0,1,1,Priority
P4,16,20,9,CPU-bound,0,1,0,1,1,1,Round Robin
P5,2,3,3,IO-bound,1,0,1,0,0,0,Round Robin
P6,19,9,3,IO-bound,0,1,1,0,0,1,Round Robin
P7,14,9,2,IO-bound,0,1,1,0,0,1,FCFS
P8,9,2,10,IO-bound,1,0,1,0,1,0,Priority
P9,11,4,2,IO-bound,1,0,1,0,0,1,Round Robin
P10,12,6,7,IO-bound,0,1,1,0,1,1,FCFS
P11,3,7,3,CPU-bound,0,1,0,1,0,0,FCFS
P12,15,8,9,IO-bound,0,1,1,0,1,1,Priority
P13,2,7,1,CPU-bound,0,1,0,1,0,0,Round Robin
P14,10,20,10,CPU-bound,0,1,0,1,1,0,Priority
P15,14,8,10,CPU-bound,0,1,0,1,1,1,Round Robin
P16,19,3,6,CPU-bound,1,0,0,1,0,1,SRTF
P17,7,16,5,CPU-bound,0,1,0,1,0,0,FCFS
P18,19,15,6,CPU-bound,0,1,0,1,0,1,SJF
P19,3,11,6,CPU-bound,0,1,0,1,0,0,Round Robin
P20,18,11,6,IO-bound,0,1,1,0,0,1,Round Robin
P21,17,3,3,IO-bound,1,0,1,0,0,1,SRTF
P22,5,6,4,CPU-bound,0,1,0,1,0,0,FCFS
P23,4,2,1,IO-bound,1,0,1,0,0,0,Round Robin
P24,6,13,7,CPU-bound,0,1,0,1,1,0,SJF
P25,14,4,7,IO-bound,1,0,1,0,1,1,SRTF
P26,11,4,7,IO-bound,1,0,1,0,1,1,SRTF
P27,8,10,7,CPU-bound,0,1,0,1,1,0,FCFS
P28,9,2,8,CPU-bound,1,0,0,1,1,0,Round Robin
P29,15,19,5,CPU-bound,0,1,0,1,0,1,FCFS
P30,1,5,4,CPU-bound,1,0,0,1,0,0,FCFS
P31,0,20,8,IO-bound,0,1,1,0,1,0,Round Robin
P32,15,11,5,CPU-bound,0,1,0,1,0,1,SJF
P33,14,8,3,IO-bound,0,1,1,0,0,1,FCFS
P34,18,17,6,IO-bound,0,1,1,0,0,1,Round Robin
P35,3,14,3,CPU-bound,0,1,0,1,0,0,FCFS
P36,15,16,10,IO-bound,0,1,1,0,1,1,Priority
P37,1,8,2,CPU-bound,0,1,0,1,0,0,FCFS
P38,1,7,5,CPU-bound,0,1,0,1,0,0,FCFS
P39,2,6,7,IO-bound,0,1,1,0,1,0,FCFS
P40,9,3,1,CPU-bound,1,0,0,1,0,0,SJF
P41,20,7,8,CPU-bound,0,1,0,1,1,1,Priority
P42,18,4,7,CPU-bound,1,0,0,1,1,1,SRTF
P43,10,6,2,CPU-bound,0,1,0,1,0,0,Round Robin
P44,6,18,8,IO-bound,0,1,1,0,1,0,Priority
P45,16,6,6,IO-bound,0,1,1,0,0,1,FCFS
P46,19,12,5,CPU-bound,0,1,0,1,0,1,FCFS
P47,17,7,3,CPU-bound,0,1,0,1,0,1,FCFS
P48,20,5,1,IO-bound,1,0,1,0,0,1,SRTF
P49,20,10,3,CPU-bound,0,1,0,1,0,1,FCFS
P50,20,4,8,CPU-bound,1,0,0,1,1,1,Round Robin
P51,14,1,7,CPU-bound,1,0,0,1,1,1,SRTF
P52,4,4,10,IO-bound,1,0,1,0,1,0,SJF
P53,7,14,10,IO-bound,0,1,1,0,1,0,Round Robin
P54,2,12,5,CPU-bound,0,1,0,1,0,0,FCFS
P55,5,14,8,IO-bound,0,1,1,0,1,0,Priority
P56,20,14,3,IO-bound,0,1,1,0,0,1,Round Robin
P57,14,9,10,IO-bound,0,1,1,0,1,1,Priority
P58,5,10,5,CPU-bound,0,1,0,1,0,0,FCFS
P59,5,18,10,CPU-bound,0,1,0,1,1,0,Priority
P60,10,10,3,CPU-bound,0,1,0,1,0,0,FCFS
P61,11,14,4,CPU-bound,0,1,0,1,0,1,FCFS
P62,5,19,8,IO-bound,0,1,1,0,1,0,Priority
P63,16,12,8,IO-bound,0,1,1,0,1,1,Priority
P64,19,18,8,CPU-bound,0,1,0,1,1,1,Priority
P65,4,20,10,CPU-bound,0,1,0,1,1,0,Priority
P66,5,20,1,CPU-bound,0,1,0,1,0,0,Round Robin
P67,14,5,6,IO-bound,1,0,1,0,0,1,SRTF
P68,20,7,9,IO-bound,0,1,1,0,1,1,SJF
P69,16,17,9,CPU-bound,0,1,0,1,1,1,Round Robin
P70,20,4,7,CPU-bound,1,0,0,1,1,1,Round Robin
P71,6,2,6,IO-bound,1,0,1,0,0,0,SJF
P72,1,17,8,IO-bound,0,1,1,0,1,0,Priority
P73,3,18,8,IO-bound,0,1,1,0,1,0,Priority
P74,1,3,5,CPU-bound,1,0,0,1,0,0,SJF
P75,10,18,7,IO-bound,0,1,1,0,1,0,Round Robin
P76,14,19,1,CPU-bound,0,1,0,1,0,1,FCFS
P77,4,2,6,IO-bound,1,0,1,0,0,0,FCFS
P78,14,18,4,CPU-bound,0,1,0,1,0,1,FCFS
P79,2,9,9,IO-bound,0,1,1,0,1,0,Priority
P80,18,10,6,CPU-bound,0,1,0,1,0,1,Round Robin
P81,12,9,2,CPU-bound,0,1,0,1,0,1,FCFS
P82,9,18,3,CPU-bound,0,1,0,1,0,0,Round Robin
P83,9,17,2,IO-bound,0,1,1,0,0,0,FCFS
P84,5,14,4,IO-bound,0,1,1,0,0,0,FCFS
P85,20,17,5,IO-bound,0,1,1,0,0,1,FCFS
P86,10,2,10,CPU-bound,1,0,0,1,1,0,Priority
P87,10,18,3,IO-bound,0,1,1,0,0,0,Round Robin
P88,7,10,2,IO-bound,0,1,1,0,0,0,Round Robin
P89,9,13,8,IO-bound,0,1,1,0,1,0,Priority
P90,16,19,6,IO-bound,0,1,1,0,0,1,FCFS
P91,8,20,3,CPU-bound,0,1,0,1,0,0,FCFS
P92,7,14,6,CPU-bound,0,1,0,1,0,0,SJF
P93,9,15,6,IO-bound,0,1,1,0,0,0,Round Robin
P94,0,20,2,IO-bound,0,1,1,0,0,0,Round Robin
P95,8,13,7,CPU-bound,0,1,0,1,1,0,FCFS
P96,11,19,6,IO-bound,0,1,1,0,0,1,Round Robin
P97,20,12,7,IO-bound,0,1,1,0,1,1,Round Robin
P98,9,10,5,CPU-bound,0,1,0,1,0,0,FCFS
P99,7,5,5,IO-bound,1,0,1,0,0,0,FCFS
P100,14,3,5,CPU-bound,1,0,0,1,0,1,SJF
P101,7,17,7,IO-bound,0,1,1,0,1,0,Round Robin
P102,11,4,6,IO-bound,1,0,1,0,0,1,Round Robin
P103,15,6,5,CPU-bound,0,1,0,1,0,1,SJF
P104,3,14,3,CPU-bound,0,1,0,1,0,0,FCFS
P105,3,17,2,CPU-bound,0,1,0,1,0,0,FCFS
P106,13,8,3,CPU-bound,0,1,0,1,0,1,FCFS
P107,11,8,9,CPU-bound,0,1,0,1,1,1,Priority
P108,11,10,3,IO-bound,0,1,1,0,0,1,FCFS
P109,18,19,2,IO-bound,0,1,1,0,0,1,FCFS
P110,17,14,6,IO-bound,0,1,1,0,0,1,Round Robin
P111,16,2,5,CPU-bound,1,0,0,1,0,1,SRTF
P112,0,15,2,CPU-bound,0,1,0,1,0,0,Round Robin
P113,19,6,7,CPU-bound,0,1,0,1,1,1,FCFS
P114,6,12,4,CPU-bound,0,1,0,1,0,0,FCFS
P115,10,7,1,CPU-bound,0,1,0,1,0,0,Round Robin
P116,4,19,10,IO-bound,0,1,1,0,1,0,SJF
P117,18,10,5,IO-bound,0,1,1,0,0,1,Round Robin
P118,2,1,5,IO-bound,1,0,1,0,0,0,SJF
P119,20,10,7,IO-bound,0,1,1,0,1,1,Round Robin
P120,14,6,4,CPU-bound,0,1,0,1,0,1,Round Robin
P121,16,12,10,CPU-bound,0,1,0,1,1,1,Round Robin
P122,4,19,4,CPU-bound,0,1,0,1,0,0,Round Robin
P123,16,8,5,CPU-bound,0,1,0,1,0,1,FCFS
P124,2,4,10,IO-bound,1,0,1,0,1,0,Priority
P125,1,12,9,CPU-bound,0,1,0,1,1,0,Round Robin
P126,13,5,3,IO-bound,1,0,1,0,0,1,SRTF
P127,19,19,7,CPU-bound,0,1,0,1,1,1,Round Robin
P128,6,5,9,IO-bound,1,0,1,0,1,0,Round Robin
P129,9,3,7,CPU-bound,1,0,0,1,1,0,SJF
P130,8,4,2,CPU-bound,1,0,0,1,0,0,SJF
P131,2,7,7,IO-bound,0,1,1,0,1,0,Round Robin
P132,3,3,7,IO-bound,1,0,1,0,1,0,FCFS
P133,18,16,3,IO-bound,0,1,1,0,0,1,Round Robin
P134,11,1,3,IO-bound,1,0,1,0,0,1,SRTF
P135,20,10,4,CPU-bound,0,1,0,1,0,1,Round Robin
P136,1,14,2,CPU-bound,0,1,0,1,0,0,FCFS
P137,10,18,7,IO-bound,0,1,1,0,1,0,Round Robin
P138,7,10,2,CPU-bound,0,1,0,1,0,0,Round Robin
P139,5,14,10,CPU-bound,0,1,0,1,1,0,Priority
P140,8,4,5,IO-bound,1,0,1,0,0,0,SJF
P141,12,4,9,IO-bound,1,0,1,0,1,1,SJF
P142,14,3,1,IO-bound,1,0,1,0,0,1,SRTF
P143,18,10,4,IO-bound,0,1,1,0,0,1,Round Robin
P144,14,15,4,CPU-bound,0,1,0,1,0,1,Round Robin
P145,13,15,5,CPU-bound,0,1,0,1,0,1,SJF
P146,10,6,5,CPU-bound,0,1,0,1,0,0,FCFS
P147,1,7,8,IO-bound,0,1,1,0,1,0,Priority
P148,13,7,1,IO-bound,0,1,1,0,0,1,Round Robin
P149,0,17,8,CPU-bound,0,1,0,1,1,0,Priority
P150,5,8,5,IO-bound,0,1,1,0,0,0,Round Robin
P151,14,18,2,CPU-bound,0,1,0,1,0,1,FCFS
P152,16,20,3,CPU-bound,0,1,0,1,0,1,FCFS
P153,8,10,10,IO-bound,0,1,1,0,1,0,Round Robin
P154,17,1,10,IO-bound,1,0,1,0,1,1,Priority
P155,17,7,10,IO-bound,0,1,1,0,1,1,SJF
P156,12,5,4,CPU-bound,1,0,0,1,0,1,SRTF
P157,16,19,7,IO-bound,0,1,1,0,1,1,Round Robin
P158,11,1,10,IO-bound,1,0,1,0,1,1,Priority
P159,3,4,8,CPU-bound,1,0,0,1,1,0,Round Robin
P160,14,2,1,CPU-bound,1,0,0,1,0,1,SRTF
P161,17,1,9,CPU-bound,1,0,0,1,1,1,Priority
P162,18,14,2,IO-bound,0,1,1,0,0,1,Round Robin
P163,10,3,3,IO-bound,1,0,1,0,0,0,SJF
P164,20,10,6,CPU-bound,0,1,0,1,0,1,FCFS
P165,12,11,2,CPU-bound,0,1,0,1,0,1,FCFS
P166,1,1,9,CPU-bound,1,0,0,1,1,0,Priority
P167,15,13,5,IO-bound,0,1,1,0,0,1,Priority
P168,5,10,1,IO-bound,0,1,1,0,0,0,Priority
P169,3,9,5,IO-bound,0,1,1,0,0,0,Round Robin
P170,2,10,2,IO-bound,0,1,1,0,0,0,Round Robin
P171,13,4,4,CPU-bound,1,0,0,1,0,1,SRTF
P172,14,13,7,CPU-bound,0,1,0,1,1,1,Round Robin
P173,0,5,2,IO-bound,1,0,1,0,0,0,SJF
P174,1,11,2,CPU-bound,0,1,0,1,0,0,Round Robin
P175,13,5,5,IO-bound,1,0,1,0,0,1,SJF
P176,15,4,4,IO-bound,1,0,1,0,0,1,SJF
P177,4,9,8,CPU-bound,0,1,0,1,1,0,Priority
P178,5,14,1,CPU-bound,0,1,0,1,0,0,FCFS
P179,1,3,8,CPU-bound,1,0,0,1,1,0,Round Robin
P180,19,2,10,IO-bound,1,0,1,0,1,1,Priority
P181,19,4,3,IO-bound,1,0,1,0,0,1,SRTF
P182,19,17,6,CPU-bound,0,1,0,1,0,1,Round Robin
P183,12,2,3,IO-bound,1,0,1,0,0,1,SJF
P184,20,12,1,IO-bound,0,1,1,0,0,1,FCFS
P185,20,19,6,IO-bound,0,1,1,0,0,1,Round Robin
P186,2,16,6,CPU-bound,0,1,0,1,0,0,FCFS
P187,14,8,7,CPU-bound,0,1,0,1,1,1,FCFS
P188,9,7,1,IO-bound,0,1,1,0,0,0,Round Robin
P189,1,14,3,IO-bound,0,1,1,0,0,0,Round Robin
P190,17,5,9,CPU-bound,1,0,0,1,1,1,Priority
P191,16,12,9,IO-bound,0,1,1,0,1,1,Priority
