arrival_time,burst_time,priority,process_type,best_algorithm,burst_priority_ratio,interaction_1,interaction_2
0,1,5,IO-bound,SJF,0.16666666666666666,5,0
20,14,9,IO-bound,Round Robin,1.4,126,280
11,15,8,IO-bound,Priority,1.6666666666666667,120,165
4,18,7,IO-bound,Round Robin,2.25,126,72
20,13,5,CPU-bound,Round Robin,2.1666666666666665,65,260
5,6,4,IO-bound,Priority,1.2,24,30
3,11,7,IO-bound,Round Robin,1.375,77,33
20,2,9,IO-bound,Priority,0.2,18,40
18,3,3,IO-bound,SRTF,0.75,9,54
7,17,6,IO-bound,FCFS,2.4285714285714284,102,119
10,13,6,IO-bound,Priority,1.8571428571428572,78,130
16,13,4,CPU-bound,SJF,2.6,52,208
13,4,10,IO-bound,Priority,0.36363636363636365,40,52
5,18,10,CPU-bound,Priority,1.6363636363636365,180,90
20,8,3,CPU-bound,FCFS,2.0,24,160
6,1,2,CPU-bound,SJF,0.3333333333333333,2,6
6,16,4,CPU-bound,FCFS,3.2,64,96
10,13,2,IO-bound,FCFS,4.333333333333333,26,130
4,8,4,IO-bound,FCFS,1.6,32,32
0,5,2,CPU-bound,SJF,1.6666666666666667,10,0
8,14,7,CPU-bound,FCFS,1.75,98,112
15,20,3,CPU-bound,FCFS,5.0,60,300
16,14,7,IO-bound,Priority,1.75,98,224
11,10,10,CPU-bound,Priority,0.9090909090909091,100,110
2,9,6,IO-bound,Round Robin,1.2857142857142858,54,18
5,18,2,IO-bound,Round Robin,6.0,36,90
0,12,2,IO-bound,Priority,4.0,24,0
16,9,2,IO-bound,Round Robin,3.0,18,144
16,1,4,CPU-bound,SRTF,0.2,4,16
5,14,3,CPU-bound,FCFS,3.5,42,70
3,6,6,CPU-bound,FCFS,0.8571428571428571,36,18
10,13,10,IO-bound,Priority,1.1818181818181819,130,130
10,7,9,IO-bound,Priority,0.7,63,70
8,19,3,IO-bound,FCFS,4.75,57,152
5,18,1,IO-bound,Round Robin,9.0,18,90
0,14,7,CPU-bound,Round Robin,1.75,98,0
19,19,2,CPU-bound,SJF,6.333333333333333,38,361
12,17,9,IO-bound,Priority,1.7,153,204
4,12,5,CPU-bound,FCFS,2.0,60,48
7,7,10,CPU-bound,Priority,0.6363636363636364,70,49
4,7,2,IO-bound,Round Robin,2.3333333333333335,14,28
14,9,2,IO-bound,Round Robin,3.0,18,126
19,3,5,IO-bound,SJF,0.5,15,57
20,13,6,CPU-bound,FCFS,1.8571428571428572,78,260
19,16,10,IO-bound,Priority,1.4545454545454546,160,304
18,2,10,CPU-bound,SJF,0.18181818181818182,20,36
19,16,8,CPU-bound,Round Robin,1.7777777777777777,128,304
1,14,9,CPU-bound,Round Robin,1.4,126,14
13,10,5,IO-bound,Round Robin,1.6666666666666667,50,130
4,12,1,CPU-bound,FCFS,6.0,12,48
20,10,5,CPU-bound,Round Robin,1.6666666666666667,50,200
8,7,9,CPU-bound,Priority,0.7,63,56
18,7,7,CPU-bound,FCFS,0.875,49,126
13,10,10,IO-bound,Priority,0.9090909090909091,100,130
4,19,1,IO-bound,Round Robin,9.5,19,76
20,17,6,IO-bound,Round Robin,2.4285714285714284,102,340
19,6,6,CPU-bound,FCFS,0.8571428571428571,36,114
12,9,7,IO-bound,Priority,1.125,63,108
2,1,9,IO-bound,Priority,0.1,9,2
14,2,10,IO-bound,Round Robin,0.18181818181818182,20,28
18,9,6,IO-bound,Round Robin,1.2857142857142858,54,162
10,13,7,CPU-bound,FCFS,1.625,91,130
3,11,2,CPU-bound,Round Robin,3.6666666666666665,22,33
3,20,3,IO-bound,Round Robin,5.0,60,60
0,6,2,CPU-bound,FCFS,2.0,12,0
9,11,2,IO-bound,FCFS,3.6666666666666665,22,99
1,5,8,CPU-bound,Priority,0.5555555555555556,40,5
13,16,2,IO-bound,Priority,5.333333333333333,32,208
5,19,9,CPU-bound,Priority,1.9,171,95
9,14,4,CPU-bound,FCFS,2.8,56,126
0,6,2,IO-bound,FCFS,2.0,12,0
3,8,10,IO-bound,Round Robin,0.7272727272727273,80,24
15,11,6,CPU-bound,FCFS,1.5714285714285714,66,165
12,6,2,IO-bound,Round Robin,2.0,12,72
12,7,7,CPU-bound,FCFS,0.875,49,84
3,12,7,IO-bound,FCFS,1.5,84,36
18,1,6,CPU-bound,SJF,0.14285714285714285,6,18
18,5,7,IO-bound,SJF,0.625,35,90
17,9,5,CPU-bound,FCFS,1.5,45,153
4,6,10,IO-bound,Round Robin,0.5454545454545454,60,24
16,17,10,IO-bound,Priority,1.5454545454545454,170,272
3,10,7,IO-bound,FCFS,1.25,70,30
10,7,4,IO-bound,Round Robin,1.4,28,70
8,13,2,CPU-bound,FCFS,4.333333333333333,26,104
18,9,6,IO-bound,Round Robin,1.2857142857142858,54,162
0,1,4,CPU-bound,SJF,0.2,4,0
4,8,3,CPU-bound,SJF,2.0,24,32
7,17,4,CPU-bound,Round Robin,3.4,68,119
11,3,9,CPU-bound,Priority,0.3,27,33
12,2,1,CPU-bound,SRTF,1.0,2,24
1,4,4,CPU-bound,SJF,0.8,16,4
8,2,1,IO-bound,SJF,1.0,2,16
7,6,5,CPU-bound,FCFS,1.0,30,42
10,1,8,CPU-bound,Priority,0.1111111111111111,8,10
20,9,10,CPU-bound,Priority,0.8181818181818182,90,180
11,6,2,IO-bound,Round Robin,2.0,12,66
2,20,7,CPU-bound,SJF,2.5,140,40
13,10,10,IO-bound,SJF,0.9090909090909091,100,130
20,2,3,CPU-bound,SRTF,0.5,6,40
0,8,9,IO-bound,SJF,0.8,72,0
5,16,4,IO-bound,FCFS,3.2,64,80
17,8,9,CPU-bound,Priority,0.8,72,136
1,9,1,IO-bound,Round Robin,4.5,9,9
11,13,9,CPU-bound,Priority,1.3,117,143
0,9,8,CPU-bound,Priority,1.0,72,0
8,2,5,IO-bound,SJF,0.3333333333333333,10,16
19,1,8,IO-bound,Round Robin,0.1111111111111111,8,19
12,4,2,IO-bound,SRTF,1.3333333333333333,8,48
20,8,7,IO-bound,Round Robin,1.0,56,160
10,9,2,CPU-bound,FCFS,3.0,18,90
6,4,2,CPU-bound,SJF,1.3333333333333333,8,24
8,8,7,CPU-bound,Round Robin,1.0,56,64
1,10,6,CPU-bound,Round Robin,1.4285714285714286,60,10
15,6,5,IO-bound,FCFS,1.0,30,90
2,18,4,IO-bound,FCFS,3.6,72,36
14,19,5,CPU-bound,FCFS,3.1666666666666665,95,266
11,7,5,CPU-bound,FCFS,1.1666666666666667,35,77
19,5,6,IO-bound,SJF,0.7142857142857143,30,95
4,9,5,IO-bound,Round Robin,1.5,45,36
12,18,3,IO-bound,Round Robin,4.5,54,216
2,14,4,IO-bound,FCFS,2.8,56,28
7,7,5,CPU-bound,FCFS,1.1666666666666667,35,49
5,15,5,IO-bound,FCFS,2.5,75,75
8,6,9,CPU-bound,Round Robin,0.6,54,48
4,11,7,CPU-bound,FCFS,1.375,77,44
5,14,1,IO-bound,FCFS,7.0,14,70
4,9,9,CPU-bound,Priority,0.9,81,36
1,19,5,IO-bound,Round Robin,3.1666666666666665,95,19
20,6,9,CPU-bound,Round Robin,0.6,54,120
16,9,9,CPU-bound,SJF,0.9,81,144
3,3,4,IO-bound,FCFS,0.6,12,9
3,7,10,CPU-bound,SJF,0.6363636363636364,70,21
18,19,10,IO-bound,Round Robin,1.7272727272727273,190,342
19,20,6,IO-bound,FCFS,2.857142857142857,120,380
18,12,7,IO-bound,Round Robin,1.5,84,216
16,9,7,IO-bound,Priority,1.125,63,144
20,20,6,CPU-bound,FCFS,2.857142857142857,120,400
14,5,10,IO-bound,Round Robin,0.45454545454545453,50,70
4,13,3,IO-bound,Priority,3.25,39,52
11,3,8,IO-bound,Priority,0.3333333333333333,24,33
8,5,1,IO-bound,SJF,2.5,5,40
2,14,8,CPU-bound,Priority,1.5555555555555556,112,28
17,18,2,CPU-bound,FCFS,6.0,36,306
16,17,7,IO-bound,Round Robin,2.125,119,272
7,18,9,IO-bound,Priority,1.8,162,126
20,11,9,IO-bound,Round Robin,1.1,99,220
14,5,4,IO-bound,SRTF,1.0,20,70
16,15,4,CPU-bound,FCFS,3.0,60,240
13,18,8,IO-bound,Round Robin,2.0,144,234
13,17,1,CPU-bound,Round Robin,8.5,17,221
1,14,6,IO-bound,Round Robin,2.0,84,14
0,2,5,CPU-bound,SJF,0.3333333333333333,10,0
8,5,1,CPU-bound,SJF,2.5,5,40
11,16,8,CPU-bound,Priority,1.7777777777777777,128,176
20,1,2,CPU-bound,SRTF,0.3333333333333333,2,20
12,13,2,CPU-bound,FCFS,4.333333333333333,26,156
3,15,3,IO-bound,FCFS,3.75,45,45
2,10,4,CPU-bound,FCFS,2.0,40,20
6,14,9,CPU-bound,Round Robin,1.4,126,84
13,14,4,CPU-bound,Round Robin,2.8,56,182
4,11,1,CPU-bound,FCFS,5.5,11,44
7,17,8,CPU-bound,Priority,1.8888888888888888,136,119
8,16,4,IO-bound,FCFS,3.2,64,128
17,17,9,IO-bound,Priority,1.7,153,289
16,11,9,IO-bound,Priority,1.1,99,176
11,7,8,IO-bound,Priority,0.7777777777777778,56,77
18,17,5,CPU-bound,FCFS,2.8333333333333335,85,306
10,18,4,CPU-bound,FCFS,3.6,72,180
18,6,6,IO-bound,Round Robin,0.8571428571428571,36,108
11,11,8,CPU-bound,Priority,1.2222222222222223,88,121
8,15,5,IO-bound,FCFS,2.5,75,120
11,9,7,IO-bound,Round Robin,1.125,63,99
6,2,8,CPU-bound,Priority,0.2222222222222222,16,12
15,2,3,CPU-bound,SRTF,0.5,6,30
9,18,4,IO-bound,Round Robin,3.6,72,162
3,15,2,CPU-bound,Round Robin,5.0,30,45
9,8,8,CPU-bound,Priority,0.8888888888888888,64,72
7,14,6,CPU-bound,SJF,2.0,84,98
12,19,9,IO-bound,Priority,1.9,171,228
3,14,1,CPU-bound,Round Robin,7.0,14,42
15,10,8,IO-bound,Round Robin,1.1111111111111112,80,150
2,3,2,CPU-bound,SJF,1.0,6,6
6,16,4,IO-bound,FCFS,3.2,64,96
19,10,3,CPU-bound,FCFS,2.5,30,190
13,1,4,CPU-bound,Round Robin,0.2,4,13
18,20,1,CPU-bound,FCFS,10.0,20,360
16,7,9,IO-bound,Priority,0.7,63,112
0,15,4,CPU-bound,FCFS,3.0,60,0
17,19,10,IO-bound,Priority,1.7272727272727273,190,323
19,14,2,CPU-bound,FCFS,4.666666666666667,28,266
10,13,9,IO-bound,SJF,1.3,117,130
3,14,9,IO-bound,Priority,1.4,126,42
19,12,7,CPU-bound,FCFS,1.5,84,228
13,1,8,CPU-bound,Round Robin,0.1111111111111111,8,13
16,7,10,IO-bound,Round Robin,0.6363636363636364,70,112
12,12,8,CPU-bound,Priority,1.3333333333333333,96,144
