process_id,arrival_time,burst_time,priority,process_type,short_job,long_job,io_flag,cpu_flag,high_priority,dynamic_arrival,best_algorithm
P1,16,4,4,IO-bound,1,0,1,0,0,1,SRTF
P2,4,16,1,CPU-bound,0,1,0,1,0,0,FCFS
P3,20,13,9,IO-bound,0,1,1,0,1,1,Priority
P4,14,19,2,IO-bound,0,1,1,0,0,1,Round Robin
P5,14,20,9,IO-bound,0,1,1,0,1,1,Priority
P6,16,15,4,IO-bound,0,1,1,0,0,1,Round Robin
P7,5,3,6,IO-bound,1,0,1,0,0,0,SJF
P8,15,11,9,CPU-bound,0,1,0,1,1,1,Priority
P9,7,19,7,CPU-bound,0,1,0,1,1,0,FCFS
P10,13,18,8,IO-bound,0,1,1,0,1,1,Priority
P11,7,20,7,IO-bound,0,1,1,0,1,0,Round Robin
P12,10,18,9,IO-bound,0,1,1,0,1,0,Priority
P13,8,6,7,CPU-bound,0,1,0,1,1,0,FCFS
P14,5,3,6,CPU-bound,1,0,0,1,0,0,SJF
P15,2,14,4,IO-bound,0,1,1,0,0,0,Round Robin
P16,10,17,2,CPU-bound,0,1,0,1,0,0,FCFS
P17,14,1,1,IO-bound,1,0,1,0,0,1,SRTF
P18,6,1,5,IO-bound,1,0,1,0,0,0,SJF
P19,6,12,7,CPU-bound,0,1,0,1,1,0,FCFS
P20,15,13,1,CPU-bound,0,1,0,1,0,1,FCFS
P21,3,20,4,IO-bound,0,1,1,0,0,0,Round Robin
P22,10,15,5,IO-bound,0,1,1,0,0,0,Round Robin
P23,17,10,5,IO-bound,0,1,1,0,0,1,Round Robin
P24,2,6,2,IO-bound,0,1,1,0,0,0,Round Robin
P25,5,8,2,CPU-bound,0,1,0,1,0,0,FCFS
P26,17,8,4,CPU-bound,0,1,0,1,0,1,FCFS
P27,8,9,5,CPU-bound,0,1,0,1,0,0,FCFS
P28,14,5,9,CPU-bound,1,0,0,1,1,1,Priority
P29,19,14,1,IO-bound,0,1,1,0,0,1,Round Robin
P30,0,18,5,CPU-bound,0,1,0,1,0,0,FCFS
P31,17,2,2,IO-bound,1,0,1,0,0,1,SRTF
P32,8,17,3,IO-bound,0,1,1,0,0,0,Round Robin
P33,0,6,9,IO-bound,0,1,1,0,1,0,Priority
P34,4,7,10,IO-bound,0,1,1,0,1,0,Priority
P35,12,2,10,IO-bound,1,0,1,0,1,1,Priority
P36,1,8,7,CPU-bound,0,1,0,1,1,0,FCFS
P37,2,10,2,CPU-bound,0,1,0,1,0,0,FCFS
P38,14,11,2,IO-bound,0,1,1,0,0,1,Round Robin
P39,20,14,7,CPU-bound,0,1,0,1,1,1,FCFS
P40,17,18,1,IO-bound,0,1,1,0,0,1,Round Robin
P41,6,2,5,IO-bound,1,0,1,0,0,0,SJF
P42,5,11,5,IO-bound,0,1,1,0,0,0,Round Robin
P43,2,2,2,CPU-bound,1,0,0,1,0,0,SJF
P44,13,3,5,CPU-bound,1,0,0,1,0,1,SRTF
P45,3,2,9,CPU-bound,1,0,0,1,1,0,Priority
P46,0,20,8,IO-bound,0,1,1,0,1,0,Priority
