num_processes,mean_burst,std_burst,max_burst,min_burst,arrival_spread,mean_priority,priority_var,pct_io_bound,pct_cpu_bound,best_algorithm
8,11.375,4.498263553861645,17,3,20,5.125,5.609375,0.5,0.5,Priority
10,8.1,4.867237409455183,18,1,20,6.6,8.04,0.7,0.30000000000000004,Priority
6,8.666666666666666,5.617433182117572,17,1,11,5.333333333333333,7.5555555555555545,0.6666666666666666,0.33333333333333337,Round Robin
9,10.88888888888889,4.532461789860253,18,3,19,6.0,4.888888888888889,0.4444444444444444,0.5555555555555556,Round Robin
17,11.823529411764707,5.090190035949162,19,1,20,5.117647058823529,6.6920415224913485,0.7647058823529411,0.23529411764705888,Round Robin
13,9.076923076923077,5.770769025695709,20,2,20,6.461538461538462,8.094674556213018,0.3076923076923077,0.6923076923076923,Priority
9,13.666666666666666,4.109609335312651,20,8,16,4.444444444444445,6.913580246913581,0.4444444444444444,0.5555555555555556,Round Robin
20,10.35,4.942418436352794,19,2,15,5.7,10.41,0.5,0.5,Round Robin
16,8.625,5.429951657243368,19,1,18,4.9375,3.68359375,0.5625,0.4375,Round Robin
4,12.75,7.224091638399945,20,1,7,3.75,2.1875,0.75,0.25,Priority
16,11.125,5.935855035291883,20,1,20,6.5,9.75,0.375,0.625,Priority
8,10.125,4.728570079844435,16,2,15,7.125,9.359375,0.375,0.625,Priority
6,11.5,4.890466917040404,19,3,18,5.333333333333333,14.888888888888888,0.16666666666666666,0.8333333333333334,Round Robin
4,15.5,2.5,18,13,6,4.75,5.1875,0.5,0.5,Round Robin
17,9.705882352941176,6.9431702022021184,20,1,20,5.823529411764706,7.557093425605537,0.5294117647058824,0.47058823529411764,Priority
4,12.75,5.7608593109014565,19,7,15,6.0,1.5,0.25,0.75,SRTF
19,10.473684210526315,6.201599293328606,20,1,18,5.315789473684211,6.110803324099724,0.47368421052631576,0.5263157894736843,Round Robin
18,10.333333333333334,5.868938953886336,20,1,19,5.5,5.138888888888889,0.5,0.5,Round Robin
8,14.625,5.406882188470542,20,5,15,3.875,4.609375,0.375,0.625,SRTF
5,7.4,6.1838499334961226,18,1,15,4.8,12.16,0.8,0.19999999999999996,Round Robin
